Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
"1983.248.1a, b",False,False,6821,American Decorative Arts,Pyramidal vase,Pyramidal Vase,American,,,,,Designer|Maker,Designed by,Frank Lloyd Wright|Minic Accessories,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd|Minic, Accessories ",American,1867      ,1959      |9999      ,ca. 1955,1952,1955,"Mahogany, ebonized wood, sheet metal",32 1/2 x 8 x 8 in. (82.6 x 20.3 x 20.3 cm),"Gift of Minic Custom Woodwork, Inc. New York, 1983",Made in,,,,United States,,,,,,,Natural Substances,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/6821,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
28.70.6,False,False,14021,American Decorative Arts,Sample,Sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,1883–1900,1883,1900,"Silk, woven",30 x 24 1/2 in. (76.2 x 62.2 cm),"Gift of Mrs. Boudinot Keith, 1928",Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14021,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
28.70.7,False,False,14022,American Decorative Arts,Sample,Sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,ca. 1883,1883,1883,"Silk and cotton, woven",11 x 16 1/4 in. (27.9 x 41.3 cm),"Gift of Mrs. Boudinot Keith, 1928",Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14022,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
28.70.8,False,False,14023,American Decorative Arts,Sample,Sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,ca. 1883,1883,1883,"Silk, woven",15 x 21 in. (38.1 x 53.3 cm),"Gift of Mrs. Boudinot Keith, 1928",Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14023,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
28.70.11,False,False,14024,American Decorative Arts,Sample,Sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,1883–1900,1883,1900,"Silk, woven",23 1/2 x 20 3/4 in. (59.7 x 52.7 cm),"Gift of Mrs. Boudinot Keith, 1928",Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14024,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
28.70.13,False,False,14025,American Decorative Arts,Sample,Sample,American,,,,,Designer|Manufacturer,Manufactured by,Candace Wheeler|Cheney Brothers,"American, Delhi, New York 1827–1923 New York|American, 1838–1955",,"Wheeler, Candace|Cheney Brothers",American|American,1827      |1838      ,1923      |1955      ,ca. 1885,1882,1885,"Silk, woven",19 1/4 x 19 7/8 in. (48.9 x 50.5 cm),"Gift of Mrs. Boudinot Keith, 1928",Made in,New York,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14025,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
28.70.18,False,False,14027,American Decorative Arts,Sample,Sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,1883–1900,1883,1900,"Silk and metallic-wrapped cotton thread, woven",20 1/2 x 13 1/2 in. (52.1 x 34.3 cm),"Gift of Mrs. Boudinot Keith, 1928",Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14027,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
28.70.19,False,False,14028,American Decorative Arts,Sample,Sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,1883–1900,1883,1900,"Silk and copper thread, woven",20 1/2 x 17 1/2 in. (52.1 x 44.5 cm),"Gift of Mrs. Boudinot Keith, 1928",Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14028,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
27.57.2,False,True,8163,American Decorative Arts,Tall clock,Tall clock,American,,,,,Maker|Maker,Case by|Movement by,John Townsend|William Tomlinson,1732–1809|active 1733,,"Townsend, John|Tomlinson, William",American|British,1732      |1733      ,1809      |1733      ,1789,1789,1789,"Mahogany, cherry, chestnut, oak",98 1/4 x 22 x 11 1/8 in. (249.6 x 55.9 x 28.3 cm),"Rogers Fund, 1927",Made in,Newport,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/8163,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1972.60.20,False,False,8090,American Decorative Arts,Library table,Table,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867      ,1959      ,1902–3,1902,1903,White oak,28 1/2 x 155 1/2 x 40 in. (72.4 x 395 x 101.6 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/8090,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1978.501.6,False,False,6918,American Decorative Arts,Salad plate,Salad Plate,"American, Japanese",,,,,Designer|Manufacturer,Designed by|Manufactured by,Frank Lloyd Wright|Noritake,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona|1904–present",,"Wright, Frank Lloyd|Noritake ",American,1867      |1904      ,1959      |2050      ,ca. 1922,1919,1922,Porcelain,Diam. 7 5/8 in. (19.4 cm),"Gift of Mr. and Mrs. Roger G. Kennedy, 1978",Made in,,,,Japan,,,,,,,Ceramics,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/6918,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1972.60.13,False,False,8089,American Decorative Arts,Table,Table,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867      ,1959      ,1912–15,1912,1915,White oak,29 x 15 9/16 x 12 7/8 in. (73.7 x 39.5 x 32.7 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/8089,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1972.60.3,False,False,8088,American Decorative Arts,Table,Table,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867      ,1959      ,1912–14,1912,1914,White oak,26 5/16 x 72 x 27 in. (66.8 x 182.9 x 68.6 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/8088,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1984.272,False,False,8087,American Decorative Arts,Table,Table,American,,,,,Designer|Retailer,Designed by|Possibly retailed by,Gustav Stickley|Tobey Furniture Company,"American, Osceola, Wisconsin 1858–1942 Syracuse, New York|1875–1954",,"Stickley, Gustav|Tobey Furniture Company",American|American,1858      |1875      ,1942      |1954      ,1900,1900,1900,Oak,23 1/8 x 23 3/4 x 23 3/4 in. (58.7 x 60.3 x 60.3 cm),"Friends of the American Wing Fund, 1984",Made in,Syracuse,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/8087,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
28.70.24,False,False,14031,American Decorative Arts,Sample,Sample,American,,,,,Manufacturer|Designer,Manufactured by|Designed by,Cheney Brothers|Candace Wheeler,"American, 1838–1955|American, Delhi, New York 1827–1923 New York",,"Cheney Brothers|Wheeler, Candace",American|American,1838      |1827      ,1955      |1923      ,ca. 1885,1882,1885,"Silk, woven",28 1/2 x 15 in. (72.4 x 38.1 cm),"Gift of Mrs. Boudinot Keith, 1928",Made in,New York,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14031,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
X.448a,False,False,14033,American Decorative Arts,Sample,Warp-printed sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,1883–1900,1883,1900,"Silk, printed",10 1/2 x 10 in. (26.7 x 25.4 cm),Museum Accession,Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14033,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
X.448b,False,False,14034,American Decorative Arts,Sample,Warp-printed sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,ca. 1885,1882,1885,"Silk, printed",9 x 10 1/2 in. (22.9 x 26.7 cm),Museum Accession,Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14034,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1987.242.5,False,False,6917,American Decorative Arts,Fork,Salad Fork,American,,,,,Designer|Manufacturer,Designed by|Manufactured by,George Washington Maher|Gorham Manufacturing Company,"1864–1926|American, 1831–present",,"Maher, George Washington|Gorham Manufacturing Company",American,1864      |1831      ,1926      |9999      ,1912,1912,1912,"Silver, silver gilt",L. 7 1/8 in. (18.1 cm),"Friends of the American Wing Fund, 1987",Made in,Providence,,,United States,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/6917,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
"1974.214.15a, b",False,False,4715,American Decorative Arts,Lamp,Lamp,American,,,,,Maker|Designer,Designed by,Tiffany Studios|Louis Comfort Tiffany,"1902–32|American, New York 1848–1933 New York",,"Tiffany Studios |Tiffany, Louis Comfort",American,1902      |1848      ,1932      |1933      ,1904–15,1904,1915,Leaded Favrile glass and bronze,"Base: H. 26 1/2 in. (67.3 cm); Diam. 14 5/8 in. (37.1 cm)
Shade: H. 14 5/8 in. (37.1 cm)
","Gift of Mr. and Mrs. Hugh J. Grant, 1974",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/4715,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
X.450,False,False,14037,American Decorative Arts,Sample,Woven sample,American,,,,,Manufacturer|Designer,Manufactured by,Cheney Brothers|Associated Artists,"American, 1838–1955|1883–1907",,"Cheney Brothers|Associated, Artists ",American,1838      |1883      ,1955      |1907      ,1883–1900,1883,1900,"Silk, woven",10 1/4 x 7 3/4 in. (26 x 19.7 cm),Museum Accession,Made in,South Manchester,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14037,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1978.15.5,False,False,14151,American Decorative Arts,Tapestry,Tapestry,American,,,,,Designer|Maker,Designed by,Albert Herter|Herter Looms,"American, New York 1871–1950 Santa Barbara, California",,"Herter, Albert|Herter Looms ",American,1871      ,1950      |9999      ,ca. 1912,1909,1912,"Wool, natural and mercerized cotton, ""artificial silk""",84 x 79 in. (213.4 x 200.7 cm),"Gift of ""A Bicentennial Gift to America from a Grateful Armenian People"", 1978",Made in,New York,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14151,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1978.15.6,False,False,14152,American Decorative Arts,Tapestry,Tapestry,American,,,,,Designer|Maker,Designed by,Albert Herter|Herter Looms,"American, New York 1871–1950 Santa Barbara, California",,"Herter, Albert|Herter Looms ",American,1871      ,1950      |9999      ,ca. 1912,1909,1912,"Wool, natural and mercerized cotton, ""artificial silk""",84 x 41 in. (213.4 x 104.1 cm),"Gift of ""A Bicentennial Gift to America from a Grateful Armenian People"", 1978",Made in,New York,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14152,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1978.15.7,False,False,14153,American Decorative Arts,Tapestry,Tapestry,American,,,,,Maker|Designer,Designed by,Herter Looms|Albert Herter,"American, New York 1871–1950 Santa Barbara, California",,"Herter Looms |Herter, Albert",American,1871      ,9999      |1950      ,ca. 1912,1909,1912,"Wool, natural and mercerized cotton, ""artificial silk""",Dimensions unrecorded,"Gift of ""A Bicentennial Gift to America from a Grateful Armenian People"", 1978",Made in,New York,,,United States,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14153,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1992.148.5,False,False,14500,American Decorative Arts,Tazza,Tazza,American,,,,,Maker,,Quezal Art Glass and Decorating Company,1901–ca. 1924,,Quezal Art Glass and Decorating Company ,,1901      ,1924      ,ca. 1901–20,1898,1920,Blown glass,H. 3 5/8 in. (9.2 cm); Diam. 6 3/8 in. (16.2 cm),"Gift of Mr. and Mrs. John P. Hollihan III, in honor of Mr. and Mrs. Vincent F. Apicella, 1992",Made in,New York,Brooklyn,Brooklyn,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/14500,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1972.264.2,False,False,7918,American Decorative Arts,Curule stool,Curule Stool,American,,,,,Maker,Workshop of,Duncan Phyfe,1770–1854,,"Phyfe, Duncan",Scottish,1770      ,1854      ,ca. 1837,1834,1837,"Mahogany, ash, pine",15 1/4 x 20 3/4 x 15 1/4 in. (38.7 x 52.7 x 38.7 cm),"Gift of Mr. and Mrs. W. Whittredge Katzenbach, 1972",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/7918,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1991.335,False,False,14342,American Decorative Arts,Plaque,Plaque,American,,,,,Manufacturer|Decorator,Manufactured by,Rookwood Pottery|Frederick D. H. Rothenbusch,"American, Cincinnati, Ohio, 1880–1967|1876–1937",,"Rookwood Pottery|Rothenbusch, Frederick D. H.",American,1880      |1876      ,1967      |1937      ,1916,1916,1916,Earthenware,8 7/16 x 10 15/16 in. (21.4 x 27.8 cm),"Gift of Mr. and Mrs. Jason Carl Berger, 1991",Made in,Cincinnati,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/14342,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
13.145.2,False,True,4506,American Decorative Arts,Jar,Jar,American,,,,,Artist,Attributed to,Christian Klinker,active 1773–98,,"Klinker, Christian",,1773      ,1798      ,ca. 1773,1773,1773,Earthenware; Redware with slip decoration,H. 10 in. (25.4 cm),"Rogers Fund, 1913",Made in,,Bucks County,Bucks County,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/4506,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1986.451,False,True,4505,American Decorative Arts,Jar,Jar,American,,,,,Maker,Attributed to,Philip Kline,active ca. 1806–34,,"Kline, Philip",,1806      ,1834      ,1809,1809,1809,Earthenware; Redware with sgraffito decoration,9 1/8 x 4 1/2 in. (23.2 x 11.4 cm),"Anonymous Gift, 1986",Made in,,Bucks County,Bucks County,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/4505,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1972.264.1,False,False,7917,American Decorative Arts,Curule stool,Curule Stool,American,,,,,Maker,Workshop of,Duncan Phyfe,1770–1854,,"Phyfe, Duncan",Scottish,1770      ,1854      ,ca. 1837,1834,1837,"Mahogany, ash, pine",15 1/4 x 20 3/4 x 15 1/4 in. (38.7 x 52.7 x 38.7 cm),"Gift of Mr. and Mrs. W. Whittredge Katzenbach, 1972",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/7917,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
22.205ab,False,False,487233,Modern and Contemporary Art,Vase with cover,Vase with cover,,,,,,Designer,,Adelaide Alsop Robineau,"American, Middletown, Connecticut, 1865–1929 Syracuse, New York",,"Robineau, Adelaide Alsop",American,1865      ,1929      ,1913,1913,1913,Porcelain,4 1/4 x 86 1/4 in. (10.8 x 219.1 cm),"Purchase, Edward C. Moore Jr. Gift, 1922",Made in,Syracuse,,New York,United States,Mid-Atlantic United States,,,,,,Ceramics-Porcelain,,http://www.metmuseum.org/art/collection/search/487233,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1981.374,False,False,504339,Musical Instruments,Harpsichord,Harpsichord,American,,,,,Manufacturer|Designer,,Chickering & Sons|Arnold Dolmetsch,"American, Boston 1853–1983|French, born Le Mans, France 1858–1940 Haslemere, Surrey, England",", under the direction of Arnold Dolmetsch","Chickering & Sons|Dolmetsch, Arnold",American|French (active Britain),1853      |1858      ,1983      |1940      ,1909,1909,1909,"Wood, various materials",L.: 240.1 cm (94-5/8 in.); W.: 97.5 (38-3/8 in.); H.: 90.2 (35-1/2 in.); D.: 27 cm (10-5/8 in.),"Gift of Mr. & Mrs. Richard H. Dana, 1981
",,Boston,,Massachusetts,United States,,,,,,,Chordophone-Zither-plucked-harpsichord,,http://www.metmuseum.org/art/collection/search/504339,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
62.233.4,False,False,4444,American Decorative Arts,Inkwell,Inkwell,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1910–20,1907,1920,"Favrile glass, bronze",H. 3 9/16 in. (9 cm); Diam. 4 in. (10.2 cm),"Gift of Mrs. H. S. Mesick, 1962",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/4444,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1992.196,False,True,14493,American Decorative Arts,Mug,Mug,American,,,,,Designer|Manufacturer,Designed by|Manufactured by,Karl L. H. Müller|Union Porcelain Works,1820–1887|1863–ca. 1922,,"Müller, Karl L. H.|Union Porcelain Works ",American,1820      |1863      ,1890      |1922      ,ca. 1863,1863,1863,Porcelain,H. 5 5/8 in. (14.3 cm),"Friends of the American Wing Fund, 1992",Made in,Brooklyn,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/14493,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1992.148.6,False,False,14501,American Decorative Arts,Chalice,Chalice,American,,,,,Maker,,Quezal Art Glass and Decorating Company,1901–ca. 1924,,Quezal Art Glass and Decorating Company ,,1901      ,1924      ,ca. 1901–20,1898,1920,Blown glass,"Bowl: H. 6 13/16 in. (17.3 cm); Diam. 6 1/8 in. (15.6 cm)
Foot: Diam. 4 1/4 in. (10.8 cm)","Gift of Mr. and Mrs. John P. Hollihan III, in honor of Mr. and Mrs. Vincent F. Apicella, 1992",Made in,New York,Brooklyn,Brooklyn,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/14501,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1991.432.1,False,False,14337,American Decorative Arts,Panel,"Panel from Western Methodist Book Concern Building, Chicago",American,,,,,Manufacturer|Designer|Maker,Manufactured by|Designed by,Northwestern Terra Cotta Company|Kristian Schneider|Harry Bergen Wheelock,"1886–ca. 1920|American, 1861–1934",,"Northwestern Terra Cotta Company |Schneider, Kristian|Wheelock, Harry Bergen",American,1886      |1861      ,1925      |9999      |1934      ,1899,1899,1899,Glazed terra cotta,17 x 16 3/8 x 5 in. (43.2 x 41.6 x 12.7 cm),"Gift of Michael Donley and Peter Miller, 1991",Made in,Chicago,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/14337,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1974.214.14,False,False,4423,American Decorative Arts,Inkwell,Inkwell,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,after 1909,1910,1919,Bronze,"Overall: H. 3 5/8 in. (9.2 cm)
Base: Diam. 5 1/2 in. (5 1/2 in.)","Gift of Mr. and Mrs. Hugh J. Grant, 1974",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/4423,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
62.233.11,False,False,4422,American Decorative Arts,Inkwell,Inkwell,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1910–20,1907,1920,Bronze,H. 2 3/16 in. (5.6 cm),"Gift of Mrs. H. S. Mesick, 1962",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/4422,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1992.340,False,False,14520,American Decorative Arts,Chair,Chair,American,,,,,Designer,Designed by,Lockwood de Forest,"American, New York 1850–1932 Santa Barbara, California",,"de Forest, Lockwood",American,1850      ,1932      ,ca. 1881–86,1878,1886,Probably teak; silk embroidery on linen,32 3/8 x 18 1/4 x 18 1/2 in. (82.2 x 46.4 x 47 cm),"Purchase, The Overbrook Foundation Gift, 1992",Possibly made in|Possibly made in,New York|Ahmedabad,,,United States|India,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/14520,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
07.34,False,True,14524,American Decorative Arts,Medal,Gilbert Stuart,American,,,,,Artist|Designer|Manufacturer,Obverse designed and modeled by|Reverse designed by|Dies cut by,Salathiel Ellis|Peter Paul Duggan|Charles Cushing Wright,"1803–1879|American (born Ireland), 1810–1861 Paris|1796–1854",,"Ellis, Salathiel|Duggan, Peter Paul|Wright, Charles Cushing","American, born Ireland",1803      |1810      |1796      ,1879      |1861      |1854      ,1848,1848,1848,Bronze,Diam. 2 1/2 in. (6.4 cm),"Gift of Mr. and Mrs. F. S. Wait, 1907",Made in,New York,,,United States,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/14524,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1996.437.3,False,False,500900,Musical Instruments,Flute in D,Flute in D,British,,,,,Maker,possibly,Valentine Metzler,"German, Bingen am Rhein, d. 1833, London",,"Metzler, Valentine",German,1775      ,1833      ,ca. 1800–1815,1780,1825,"Boxwood, brass, ivory",L. 60 cm (23-1/2 in.).; Embouchure L. 531 cm (20-3/4 in.),"Bequest of Robert Alonzo Lehman, 1996",,London,,England,United Kingdom,,,,,,,Aerophone-Blow Hole-side-blown flute (transverse),,http://www.metmuseum.org/art/collection/search/500900,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
66.221.8,False,True,7916,American Decorative Arts,Curule stool,Curule Stool,American,,,,,Maker,Workshop of,Duncan Phyfe,1770–1854,,"Phyfe, Duncan",Scottish,1770      ,1854      ,1837–38,1837,1838,"Mahogany, ash, pine",15 1/4 x 20 3/4 x 15 1/4 in. (38.7 x 52.7 x 38.7 cm),"Purchase, L. E. Katzenbach Fund Gift, 1966",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/7916,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1974.214.13,False,False,4156,American Decorative Arts,Hand blotter,Hand Blotter,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,after 1909,1910,1919,Bronze,H. 5 3/4 in. (14.6 cm),"Gift of Mr. and Mrs. Hugh J. Grant, 1974",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/4156,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1987.402.2,False,False,4144,American Decorative Arts,Pierced wooden grill,"Grill from the Avery Coonley House, Riverside, Illinois",American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867      ,1959      ,ca. 1908,1905,1908,Oak,37 x 19 1/4 x 2 in. (94 x 48.9 x 5.1 cm),"Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf, 1987",Made in,Riverside,,,United States,,,,,,,Architecture,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/4144,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1987.402.1,False,False,4143,American Decorative Arts,Pierced wooden grill,"Grill from the Avery Coonley House, Riverside, Illinois",American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867      ,1959      ,ca. 1908,1905,1908,Oak,17 1/2 x 19 1/4 x 1 1/4 in. (44.5 x 48.9 x 3.2 cm),"Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf, 1987",Made in,Riverside,,,United States,,,,,,,Architecture,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/4143,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1996.371,False,False,4537,American Decorative Arts,Vase,Vase,American,,,,,Designer|Manufacturer,Designed by|Manufactured by,Frederick Hurten Rhead|Rhead Pottery,"American (born England), Hanley Stoke-on-Trent 1880–1942 New York",,"Rhead, Frederick Hurten|Rhead Pottery","American, born England",1880      ,1942      |9999      ,1913–17,1913,1917,Earthenware,H. 11 1/2 in. (29.2 cm),"Friends of the American Wing Fund, 1996",Made in,Santa Barbara,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/4537,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
