Reign,Period,Dynasty,State,Region,Artist Nationality,City,Culture,Classification,Artist Alpha Sort,Country,Title,Object Name
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Armchair,Armchair
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Stamp Box,Stamp box
,,,,,American,New York,American,Textiles,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Printed velvet,Printed velvet
,,,,,"American, born Ireland",New York,American,Sculpture,"Wright, Charles Cushing|Duggan, Peter Paul|Hughes, Robert Ball",United States,John Trumbull,Medal
,,,,,American,New York,American,Textiles,"Wright, Frank Lloyd",United States,Sample,Sample
,,,,,"American, born Ireland",New York,American,Sculpture,"Wright, Charles Cushing|Duggan, Peter Paul",United States,Washington Allston,Medal
,,,,,American,New York,American,Furniture,"Davis, Alexander Jackson|Burns and Brother",United States,Side Chair,Side Chair
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Sauceboat,Sauceboat
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Footstool,Footstool
,,,,,American,New York,American,Textiles,"Wright, Frank Lloyd",United States,Woven sample,Sample
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Sauceboat,Sauceboat
,,,,,British,London,British,Textiles,"Morris, William|Morris & Company",England,Woven piece,Piece
,,,,,"American, born Ireland",New York,American,Sculpture,"Duggan, Peter Paul|Wright, Charles Cushing|Ellis, Salathiel",United States,Gilbert Stuart,Medal
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Platter,Platter
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Covered tureen,Tureen
,,,,,American,New York,American,Glass,"Tiffany Studios |Tiffany, Louis Comfort",United States,Dogwood,Window
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Footstool,Footstool
,,,,,Native American,,Arapaho,Paper-Drawings,Artist A (Henderson Ledger),United States,Warrior Society Dance,Drawings
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Glass Shade,Glass shade
,,,|,,Italian,Cremona,Italian (Cremona),Chordophone-Lute-plucked,Amati Andrea,Italy,"ex ""Kurtz"" Violin",Violin
,,,Frederick County,,,New Bremen,American,Glass,"New Bremen Glass Manufactory |Amelung, John Frederick",United States,Goblet,Goblet
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Glass Shade,Glass shade
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Glass Shade,Glass shade
,,,,,American,,American,Natural Substances,"Wright, Frank Lloyd|Minic, Accessories ",United States,Square Planter,Square planter
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Dinner Plate,Dinner plate
,,,,,"American, born Austria",Concord,American,Metal,"Durgin Company William B.|Bitter, Karl Theodore",United States,Standing Cup,Standing cup
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Standing Lamp,Standing lamp
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Curule Stool,Curule stool
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Dinner Plate,Dinner plate
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Dinner Plate,Dinner plate
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Dinner Plate,Dinner plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Wood, Ralph, the Younger",England,George Washington,Bust
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Standing Lamp,Standing lamp
,,,,,American,New York,American,Textiles,"Wright, Frank Lloyd",United States,Sample,Sample
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Dinner Plate,Dinner plate
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Standing Lamp,Standing lamp
,,,,,American,Philadelphia,American,Glass,"Gillinder and Sons, James",United States,Chandelier,Chandelier
,,,,,American,Brooklyn,American,Ceramics,"Müller, Karl L. H.|Union Porcelain Works ",United States,Century Vase,Vase
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Dinner Plate,Dinner plate
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Soup Plate,Soup plate
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Soup Plate,Soup plate
,,,,,American,New York,American,Ceramics,"Falconer, John Mackie|Carr, New York City Pottery James",United States,Plaque,Plaque
,,,,,American,New York,American,Furniture,"Carter, Robert",United States,Side Chair,Side Chair
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Soup Plate,Soup plate
,,,,,American,,"American, Japanese",Ceramics,"Wright, Frank Lloyd|Noritake ",Japan,Fruit Bowl,Fruit bowl
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Standing Lamp,Standing lamp
,,,,,American,,"American, Japanese",Ceramics,"Wright, Frank Lloyd|Noritake ",Japan,Fruit Bowl,Fruit bowl
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Standing Lamp,Standing lamp
,,,,,American|American,Chicago,American,Architecture,"Elmslie, George Grant|American Terra Cotta and Ceramic Company ",United States,Frieze,Frieze
,,,Staffordshire,,,Stoke-on-Trent,British,Ceramics,"Wedgwood and Sons, Josiah",England,George Washington,Plaque
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Soup Plate,Soup plate
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Standing Lamp,Standing lamp
,,,,,American|American,New York,American,Textiles,"Wheeler, Candace|Cheney Brothers|Associated, Artists ",United States,Tulips panel,Panel
,,,Staffordshire,,,Stoke-on-Trent,British,Ceramics,"Wedgwood and Sons, Josiah",England,George Washington,Medal
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Soup Plate,Soup plate
,,,,,French,Paris,"French, for American market",Ceramics,Dihl et Guérhard,France,Soup Plate,Soup plate
,,,,,American,New York,American,Architecture,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Fountain base for mosaic wall mural,Fountain base
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Stubbs, Joseph",England,Plate,Plate
,,,,,American,New York|Ahmedabad,American,Furniture,"de Forest, Lockwood",United States|India,Screen,Screen
,,,,,American,New York,American,Textiles,"Wright, Frank Lloyd",United States,Sample,Sample
,,,,,American,Baltimore,American,Furniture,"Smith, Francis Hopkinson",United States,Grand Harmonicon,Grand harmonicon
,,,,,American,,"American, Japanese",Ceramics,"Noritake |Wright, Frank Lloyd",Japan,Salad Plate,Salad plate
,,,Morris County,,,Hanover,American,Textiles,"Hodges, Polly",United States,Embroidered sampler,Sampler
,,,,,American,New York,American,Silver,"Myers, Myer",United States,Sugar tongs,Tongs
,,,,,American,Philadelphia,American,Silver,"Wiltberger, Christian",United States,Sugar Bowl,Sugar Bowl
,,,Saratoga County,,,Halfmoon,American,Textiles,"Coons, Elizabeth",United States,Embroidered sampler,Sampler
,,,,,,Philadelphia,American,Metal,"Heyne, Johann Christoph|Will, William",United States,Sugar Bowl,Sugar bowl
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Stubbs, Joseph",England,Sugar Bowl,Sugar bowl
,,,Essex County,,,Haverhill,American,Textiles,"Carleton, Caroline",United States,Embroidered sampler,Sampler
,,,Essex County,,,Salem,American,Textiles,"Glover, Priscilla T.",United States,Embroidered Sampler,Sampler
,,,Lancaster County,,,East Hempfield,American,Textiles,"Stauffer, Mary Ann",United States,Embroidered Sampler,Sampler
,,,Summit County,,,Springfield,American,Textiles,"Reynolds, Jenette A.",United States,Embroidered Sampler,Sampler
,,,,,American,Philadelphia,American,Membranophone-double-headed / cylindrical drum,"Vogt, Ernest",United States,Side Drum,Side Drum
,,,Montgomery County,,,,American,Ceramics,"Nice, John",United States,Sugar bowl,Sugar bowl
,,,Orange County,,,,American,Textiles,"Chapman, Jane Simonton",United States,Quilted Tablecover,Tablecover
,,,Orange County,,,,American,Textiles,"Chapman, Jane Simonton",United States,Tablecover,Tablecover
,,,Orange County,,,,American,Textiles,"Chapman, Jane Simonton",United States,Tablecover,Tablecover
,,,,,American,Fayetteville,American,Textiles,"Stickley, Gustav",United States,Embroidered Table Scarf,Tablecloth
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,Lancaster County,,,East Lampeter Township,American,Textiles,"Denlinger, Magdalena",United States,Embroidered Sampler,Sampler
,,,Brooklyn,,,Meriden|New York,American,Glass,Handel Company ,United States|United States,Lamp,Lamp
,,,Lancaster County,,,East Lampeter Township,American,Textiles,"Denlinger, Anna",United States,Embroidered Sampler,Sampler
,,,,,American,Providence,American,Silver,"Maher, George Washington|Gorham Manufacturing Company",United States,Table Spoon,Spoon
,,,,,American,,American,Natural Substances,"Wright, Frank Lloyd|Minic, Accessories ",United States,Pyramidal Vase,Pyramidal vase
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Sample,Sample
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Sample,Sample
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Sample,Sample
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Sample,Sample
,,,,,American|American,New York,American,Textiles,"Wheeler, Candace|Cheney Brothers",United States,Sample,Sample
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Sample,Sample
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Sample,Sample
,,,,,American|British,Newport,American,Furniture,"Townsend, John|Tomlinson, William",United States,Tall clock,Tall clock
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Table,Library table
,,,,,American,,"American, Japanese",Ceramics,"Wright, Frank Lloyd|Noritake ",Japan,Salad Plate,Salad plate
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Table,Table
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Table,Table
,,,,,American|American,Syracuse,American,Furniture,"Stickley, Gustav|Tobey Furniture Company",United States,Table,Table
,,,,,American|American,New York,American,Textiles,"Cheney Brothers|Wheeler, Candace",United States,Sample,Sample
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Warp-printed sample,Sample
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Warp-printed sample,Sample
,,,,,American,Providence,American,Silver,"Maher, George Washington|Gorham Manufacturing Company",United States,Salad Fork,Fork
,,,,,American,New York,American,Glass,"Tiffany Studios |Tiffany, Louis Comfort",United States,Lamp,Lamp
,,,,,American,South Manchester,American,Textiles,"Cheney Brothers|Associated, Artists ",United States,Woven sample,Sample
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter Looms |Herter, Albert",United States,Tapestry,Tapestry
,,,Brooklyn,,,New York,American,Glass,Quezal Art Glass and Decorating Company ,United States,Tazza,Tazza
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Curule Stool,Curule stool
,,,,,American,Cincinnati,American,Ceramics,"Rookwood Pottery|Rothenbusch, Frederick D. H.",United States,Plaque,Plaque
,,,Bucks County,,,,American,Ceramics,"Klinker, Christian",United States,Jar,Jar
,,,Bucks County,,,,American,Ceramics,"Kline, Philip",United States,Jar,Jar
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Curule Stool,Curule stool
,,,,Mid-Atlantic United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Vase with cover,Vase with cover
,,,,,American|French (active Britain),Boston,American,Chordophone-Zither-plucked-harpsichord,"Chickering & Sons|Dolmetsch, Arnold",United States,Harpsichord,Harpsichord
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Inkwell,Inkwell
,,,,,American,Brooklyn,American,Ceramics,"Müller, Karl L. H.|Union Porcelain Works ",United States,Mug,Mug
,,,Brooklyn,,,New York,American,Glass,Quezal Art Glass and Decorating Company ,United States,Chalice,Chalice
,,,,,American,Chicago,American,Ceramics,"Northwestern Terra Cotta Company |Schneider, Kristian|Wheelock, Harry Bergen",United States,"Panel from Western Methodist Book Concern Building, Chicago",Panel
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Inkwell,Inkwell
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Inkwell,Inkwell
,,,,,American,New York|Ahmedabad,American,Furniture,"de Forest, Lockwood",United States|India,Chair,Chair
,,,,,"American, born Ireland",New York,American,Sculpture,"Ellis, Salathiel|Duggan, Peter Paul|Wright, Charles Cushing",United States,Gilbert Stuart,Medal
,,,,,German,London,British,Aerophone-Blow Hole-side-blown flute (transverse),"Metzler, Valentine",United Kingdom,Flute in D,Flute in D
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Curule Stool,Curule stool
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Hand Blotter,Hand blotter
,,,,,American,Riverside,American,Architecture,"Wright, Frank Lloyd",United States,"Grill from the Avery Coonley House, Riverside, Illinois",Pierced wooden grill
,,,,,American,Riverside,American,Architecture,"Wright, Frank Lloyd",United States,"Grill from the Avery Coonley House, Riverside, Illinois",Pierced wooden grill
,,,,,"American, born England",Santa Barbara,American,Ceramics,"Rhead, Frederick Hurten|Rhead Pottery",United States,Vase,Vase
,,,,,American,Zanesville,American,Ceramics,American Encaustic Tile Company,United States,Tile,Tile
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter Looms |Herter, Albert",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American|American,Cincinnati,American,Ceramics,"Nichols, Maria Longworth|Rookwood Pottery",United States,Plate,Plate
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,,,American,New York,American,Textiles,"Herter, Albert|Herter Looms ",United States,Tapestry,Tapestry
,,,Frederick County,,,Lewistown,American,Textiles,"Schaeffer, Annie E. Freshour",United States,"Quilt, Birds in Air pattern",Quilt
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Kettle Stand,Kettle stand
,,,,,,Boston,American,Glass,"Cains, Thomas|South Boston Flint Glass Works |Phoenix Glass Works ",United States,Sugar bowl,Sugar bowl
,,,Staffordshire,,British,,British (American market),Ceramics,"Wood & Sons, Enoch",England,Cream Pitcher,Cream pitcher
,,,Staffordshire,,,Stoke-on-Trent,British,Ceramics,"Wedgwood and Sons, Josiah",England,Seal,Seal
,,,Delaware,,,Rose Valley,American,Furniture,"Price, William Lightfoot|Rose Valley",United States,Library Table,Library table
,,,,,,Portland|Pittsburgh,American,Glass,Duncan and Sons George|Portland Glass Company ,United States|United States,Tree of life pitcher,Pitcher
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Footstool,Footstool
,,,,,,Coventry|Keene,American,Glass,Coventry Glass Works |Keene Glass Works,United States|United States,Figured flask,Flask
,,,,Mid-Atlantic United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Vase,Vase
,,,,,American,New York,American,Silver,"Bailey, John|Ferara, Andrea",United States,Dress Sword,Sword
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,,American,Natural Substances,"Wright, Frank Lloyd|Minic, Accessories ",United States,Double Vase,Double vase
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,Chicago,American,Architecture,"Sullivan, Louis Henry|Yale and Towne Manufacturing Company ",United States,"Doorplate, knob, and lock for Guaranty Building, Buffalo",Door hardware
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,Staffordshire,,British,,British (American market),Ceramics,"Wood & Sons, Enoch",England,Dish,Dish
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Sofa,Sofa
,,,Staffordshire,,British,,British (American market),Ceramics,"Wood & Sons, Enoch",England,Dish,Dish
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Sofa,Sofa
,,,,,German,New York,American,Furniture,"Belter, J. H.",United States,Sofa,Sofa
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Bowl,Bowl
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Armchair,Armchair
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Drop-leaf Pembroke Table,Drop-leaf Pembroke table
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,New York,American,Jewelry,"Jamison, George W.|Rose, William",United States,Cameo,Brooch
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Sofa,Sofa
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Sofa,Sofa
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Dish,Dish
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,Providence,American,Silver,"Gorham Manufacturing Company|Maher, George Washington",United States,Dinner Knife,Knife
,,,,,American,Providence,American,Silver,"Maher, George Washington|Gorham Manufacturing Company",United States,Dinner Fork,Fork
,,,,,American,Providence,American,Silver,"Maher, George Washington|Gorham Manufacturing Company",United States,Dessert Spoon,Spoon
,,,,,British,London,British,Ceramics,Bow Porcelain Factory,England,Dessert Plate,Dessert plate
,,,,,British,London,British,Ceramics,Bow Porcelain Factory,England,Dessert Plate,Dessert plate
,,,,,American,New York,American,Jewelry,"Carlin, John",United States,Pair of Bracelets,Bracelet
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Cylinder Desk and Bookcase,Desk and bookcase
,,,,,American,Salem,American,Furniture,"Gould, Nathaniel",United States,Desk and bookcase,Desk and bookcase
,,,,,American|American,Eastwood,American,Furniture,"Ellis, Harvey|Stickley, Gustav",United States,Desk,Desk
,,,,,American,Providence,American,Silver,"Maher, George Washington|Gorham Manufacturing Company",United States,Demitasse Spoon,Spoon
,,,,,American,Trenton,American,Ceramics,"Callowhill, James|Willets Manufacturing Company ",United States,Sugar Bowl,Sugar bowl
,,,,,American,Eastwood,American,Furniture,"Stickley, Gustav",United States,Sideboard Table,Sideboard table
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Stevenson, & Williams Ralph",England,Cup Plate,Cup plate
reign of Seti I,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,,"Upper Egypt, Thebes",,,,,"Davies, Norman de Garis",Egypt,"Userhat and Wife Receiving Offerings, Tomb of Userhat","Facsimile, Userhat (TT 51), offering"
,,,,,American,,"American, Japanese",Ceramics,"Wright, Frank Lloyd|Noritake ",Japan,Cup,Cup
,,,,,American,,"American, Japanese",Ceramics,"Wright, Frank Lloyd|Noritake ",Japan,Cup,Cup
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Sideboard Table,Sideboard table
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan|Phyfe & Son, D.|Phyfe & Sons, D.",United States,Secretary Abattant,Secretary abattant
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,Hall & Son Ralph,England,Cup and Saucer,Cup and saucer
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,,"American, Japanese",Ceramics,"Wright, Frank Lloyd|Noritake ",Japan,Dinner Plate,Dinner plate
,,,,,American,,"American, Japanese",Ceramics,"Wright, Frank Lloyd|Noritake ",Japan,Dinner Plate,Dinner plate
,,,,,American,Trenton,American,Ceramics,"Callowhill, James|Willets Manufacturing Company ",United States,Cream Pitcher,Cream pitcher
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Dish,Dish
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Stubbs, Joseph",England,Dish,Dish
,,,,,American,Marlborough,American,Aerophone-Organ,"Clisbee, George",United States,Chamber Organ,Chamber Organ
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,New York,American,Silver,"Targee, John",United States,Snuffbox,Box
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,French,Paris,French,Ceramics,"Schoelcher, Marc",France,Vase,Vase
,,,,,American,,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",United States,Vase,Vase
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
